These data were taken from the�NASA Exoplanet Archive.
Name      Orbital PePlanet MasPlanet MasSemi-majorEccentriciStellar MaDiscovery Discovery
WASP-133 b     2.176     1.160       369   0.0345     0.170      1.16 Transit   Maxted et
K2-29 b        3.259    0.730        232   0.0422     0.066      0.94 Transit   Santerne e
HATS-25 b      4.299    0.613        195   0.0516     0.176      0.99 Transit   Espinoza e
HATS-26 b      3.302    0.650        207   0.0474     0.245      1.30 Transit   Espinoza e
HATS-27 b      4.637    0.530        168   0.0611     0.581      1.42 Transit   Espinoza e
HATS-28 b      3.181    0.672        214   0.0413     0.202      0.93 Transit   Espinoza e
HATS-29 b      4.606    0.653        208   0.0548     0.158      1.03 Transit   Espinoza e
HATS-30 b      3.174    0.706        224   0.0435     0.096      1.09 Transit   Espinoza e
PSR J2322-    0.323     0.795        253   0.0102     0.002      1.40 Pulsar TimSpiewak et
HATS-43 b      4.389    0.261         83   0.0494     0.173      0.84 Transit   Brahm et a
HATS-44 b      2.744    0.560        178   0.0365     0.279      0.86 Transit   Brahm et a
HATS-45 b      4.188    0.700        222   0.0551     0.240      1.27 Transit   Brahm et a
HATS-46 b      4.742    0.173         55   0.0537     0.559      0.92 Transit   Brahm et a
HATS-7 b       3.185    0.120         38   0.0401     0.170      0.85 Transit   Bakos et a
WASP-162 b     9.625     5.200      1653   0.0871     0.434      0.95 Transit   Hellier et
HD 202772      3.309     1.017       323   0.0521     0.038      1.72 Transit   Wang et al
TOI 172 b      9.477     5.420      1723   0.0914     0.381      1.13 Transit   Rodriguez
HATS-60 b      3.561    0.662        210   0.0471     0.191      1.10 Transit   Hartman et
HATS-61 b      7.818     3.400      1081   0.0791     0.092      1.08 Transit   Hartman et
HATS-62 b      3.277    0.179         57   0.0416     0.298      0.90 Transit   Hartman et
HATS-63 b      3.057    0.960        305   0.0403     0.136      0.93 Transit   Hartman et
HATS-64 b      4.909    0.960        305   0.0656     0.151      1.56 Transit   Hartman et
HATS-65 b      3.105    0.821        261   0.0450     0.062      1.26 Transit   Hartman et
HATS-66 b      3.141     5.330      1694   0.0471     0.064      1.41 Transit   Hartman et
HATS-67 b      1.609     1.450       461   0.0303     0.057      1.44 Transit   Hartman et
HATS-68 b      3.586     1.290       410   0.0507     0.036      1.35 Transit   Hartman et
HATS-69 b      2.225    0.577        183   0.0321     0.519      0.89 Transit   Hartman et
HATS-70 b      1.888    12.900      4100   0.0363     0.180      1.78 Transit   Zhou et al
Kepler-165     3.849     5.880      1869   0.0544     0.063      1.45 Transit   Chontos et
HATS-59 b      5.416    0.806        256   0.0611     0.129      1.04 Transit   Sarkis et
HATS-50 b      3.830    0.390        124   0.0505     0.516      1.17 Transit   Henning et
HATS-51 b      3.349    0.768        244   0.0464     0.330      1.19 Transit   Henning et
HATS-52 b      1.367     2.240       712   0.0250     0.246      1.11 Transit   Henning et
HATS-53 b      3.854    0.595        189   0.0475     0.330      0.96 Transit   Henning et
WASP-114 b     1.549     1.769       562   0.0285     0.012      1.29 Transit   Barros et
HAT-P-65 b     2.605    0.527        167   0.0395     0.304      1.21 Transit   Hartman et
HAT-P-66 b     2.972    0.783        249   0.0436     0.090      1.25 Transit   Hartman et
WASP-140 b     2.236     2.440       776   0.0323     0.047      0.90 Transit   Hellier et
HATS-22 b      4.723     2.740       871   0.0503     0.079      0.76 Transit   Bento et a
HATS-23 b      2.161     1.470       467   0.0340     0.114      1.12 Transit   Bento et a
WASP-151 b     4.533    0.310         99   0.0550     0.003      1.08 Transit   Demangeon
WASP-153 b     3.333    0.390        124   0.0480     0.009      1.34 Transit   Demangeon
WASP-156 b     3.836    0.128         41   0.0453     0.007      0.84 Transit   Demangeon
NGTS-1 b       2.647    0.812        258   0.0326     0.016      0.62 Transit   Bayliss et
HATS-39 b      4.578    0.630        200   0.0601     0.275      1.38 Transit   Bento et a
HATS-40 b      3.264     1.590       505   0.0500     0.312      1.56 Transit   Bento et a
HATS-41 b      4.194     9.700      3083   0.0583     0.380      1.50 Transit   Bento et a
HATS-42 b      2.292     1.880       598   0.0369     0.229      1.27 Transit   Bento et a
